SeedID,LifecycleStage,WorkDomain,HazardCategory,Hazard,Causes,Consequences,ExistingSafeguards,RecommendedActionsMitigations,SeverityPotential,LikelihoodTypical,AppliesTo
HZ-001,Pre-FEED,Shared,Layout and Congestion,"Field layout congestion or unsafe proximity between assets, pipelines, umbilicals, and future access routes",Immature layout; weak spacing rules; limited intervention input; routing optimized for CAPEX only,Clashes; unsafe installation and intervention; damage exposure; redesign later in lifecycle,Concept reviews; preliminary spacing standards; route corridor screening,Define minimum spacing and crossing rules; reserve intervention corridors; compare options with visual HAZID before concept freeze,High,Medium,"Subsea architecture, manifolds, flowlines, umbilicals, topsides tie-ins"
HZ-002,Pre-FEED,Subsea,Geotechnical and Seabed,Unrecognized geohazard or seabed instability affecting foundations and routing,Incomplete survey coverage; shallow gas; boulders; slope instability; scour; mobile seabed,Foundation instability; free spans; installation delay; integrity failure in service,Desktop studies; preliminary geophysical and geotechnical screening,Flag geohazard zones in model; require survey confidence rating; hold route decisions where subsurface data is weak,High,Medium,"Templates, manifolds, PLETs, PLEMs, pipelines, cables"
HZ-003,Pre-FEED,Offshore,Marine and Vessel Interface,Concept assumes marine execution that is unsafe or impractical,No early vessel strategy; underestimated crane reach or deck load; poor weather assumptions; limited marine input,Offshore campaign delay; collision or dropped object risk; redesign of structures and lifting points,High-level installation philosophy; marine consultation at concept stage,"Add vessel and installation specialist review; capture lift envelopes, access corridors, and vessel assumptions in model metadata",High,Medium,"Heavy lifts, subsea installation spreads, offshore hookup"
HZ-004,Pre-FEED,Shared,Major Accident Hazards,Major hydrocarbon release scenario not designed out at concept stage,Weak isolation philosophy; poor segregation; vulnerable tie-in arrangement; immature leak detection concept,Loss of containment; fire or explosion; environmental release; major redesign later,Conceptual shutdown and isolation philosophy; hazard review workshops,"Compare concepts on escalation potential, segmentation, shutdown, and depressurization; make major accident scenarios mandatory review prompts",Very High,Low,"Processing systems, export systems, tie-ins, brownfield connections"
HZ-005,Pre-FEED,Shared,Human Factors and Maintainability,Unsafe access or poor maintainability designed into equipment and field arrangement,Operability input missing; focus on normal operation only; access envelope not considered,Unsafe interventions; deferred maintenance; high OPEX; procedural workarounds,Maintainability philosophy; operations representative input,Record access constraints and retrieval assumptions in design; add maintainability prompts to all concept HAZIDs,Medium,Medium,"Subsea retrievable equipment, valves, topside skids, access routes"
HZ-006,Pre-FEED,Shared,Future Expansion and Tie-ins,Future tie-in or expansion constraints embedded in initial concept,No future capacity allowance; crowded hubs; routing locked early; no spare control or hydraulic capacity,Unsafe brownfield tie-ins later; higher future CAPEX; operational disruption,Concept option review; high-level growth assumptions,Reserve future tie-in corridors and capacity; tag expansion assumptions and unresolved constraints in model,Medium,Medium,"Tie-ins, spare slots, controls, utility capacity"
HZ-007,Pre-FEED,Shared,Emergency Response,Emergency response assumptions do not fit field concept or marine spread,Weak scenario definition; poor standby vessel assumptions; access or rescue routes not considered,Delayed rescue; escalation during incident; weak evacuation strategy,Emergency response philosophy; conceptual ERP assumptions,"Include emergency access, rescue, and standby assumptions in concept review; recheck for remote or harsh environments",High,Low,"Remote subsea fields, offshore facilities, marine campaigns"
HZ-008,Pre-FEED,Shared,Environmental,Environmental discharge or spill pathways not recognized early,Poor containment concept; chemical handling assumptions; weak drainage and storage philosophy,Pollution event; permit issues; cleanup cost; reputational damage,Environmental design basis; early environmental studies,Add environmental consequence class to early hazards; identify sensitive receptors and spill pathways in design basis,High,Low,"Produced fluids, chemicals, storage, offloading, drilling support"
HZ-009,FEED,Shared,Interfaces,"Interface mismatch between subsea, topsides, controls, and marine packages",Split package ownership; late changes; mismatched tag sets; unclear interface boundaries,Integration failures; commissioning delay; wrong hookups; unsafe operation,Interface registers; coordination meetings; design reviews,"Use FieldTwin as shared interface review context; assign interface owners; create mandatory prompts for mechanical, control, hydraulic, and electrical interfaces",High,Medium,Package interfaces across EPC and operator scopes
HZ-010,FEED,Shared,Isolation and Depressurization,Isolation and depressurization philosophy is inadequate for maintenance or upset conditions,Valve placement gaps; trapped volumes; weak vent or drain concept; poor shutdown logic,Release during maintenance; escalation during upset; unsafe restart,P&IDs; shutdown philosophy; discipline reviews,Review intrusive maintenance scenarios early; tag isolation points and trapped inventory risks against systems and line segments,Very High,Medium,"Process systems, subsea tie-ins, utility systems"
HZ-011,FEED,Shared,Control Systems,Control system failure modes or alarm philosophy are not adequately understood,Incomplete cause and effect; poor redundancy; weak communications assumptions; package integration issues,Missed leak or upset; spurious trips; unstable operations; startup problems,Control narratives; F&G concept; shutdown philosophy,"Add controls-specific HAZID prompts; track unresolved alarm, trip, and fail-safe assumptions as actions before IFC",High,Medium,"SCADA, subsea controls, ESD, F&G, communications"
